# Instruction file for the x86-64 compiler



# Mnemonic			Opcode				Flags				Registers
		AND			[ 81 ]				Le4					Evqp, Ivds
		SUB			[ 81 ]				Le5					Evqp, Ivds
		XOR			[ 81 ]				Le6					Evqp, Ivds
		CMP			[ 81 ]				e7					Evqp, Ivds
# 82	[Invalid]
		ADD			[ 83 ]				Le0					Evqp, Ibs
		OR			[ 83 ]				Le1					Evqp, Ibs
		ADC			[ 83 ]				Le2					Evqp, Ibs
		SBB			[ 83 ]				Le3					Evqp, Ibs
		AND			[ 83 ]				Le4					Evqp, Ibs
		SUB			[ 83 ]				Le5					Evqp, Ibs
		XOR			[ 83 ]				Le6					Evqp, Ibs
		CMP			[ 83 ]				e7					Evqp, Ibs
		TEST		[ 84 ]				r					Eb, Gb
		TEST		[ 85 ]				r					Evqp, Gvqp
		XCHG		[ 86 ]				Lr					Gb, Eb
		XCHG		[ 87 ]				Lr					Gvqp, Evqp
		MOV			[ 88 ]				r					Eb, Gb
		MOV			[ 89 ]				r					Evqp, Gvqp
		MOV			[ 8A ]				r					Gb, Eb
		MOV			[ 8B ]				r					Gvqp, Evqp
		MOV			[ 8C ]				r					Mw, Sw
		MOV			[ 8C ]				r					Rvqp, Sw
		LEA			[ 8D ]				r					Gvqp, M
		MOV			[ 8E ]				r					Sw, Ew
		POP			[ 8F ]				e0					Ev
		POP			[ 8F ]				e0					Evq
		XCHR		[ 90 ]				-					Zvqp, rAX
		NOP			[ 90 ]				-
		
		CBW			[ 98 ]				-					AX, AL
		CWDE		[ 98 ]				-					EAX, AX
		CDQE		[ 98 ]				-					RAX, EAX
		CBW			[ 99 ]				-					DX, AX
		CWDE		[ 99 ]				-					EDX, EAX
		CDQE		[ 99 ]				-					RDX, RAX
# 9A	[Invalid]
# 9B	[Wait prefix x87fpu]
		PUSHF		[ 9C ]				-					Fws
		PUSHFQ		[ 9C ]				-					Fqs
		POPF		[ 9D ]				-					Fws
		POPFQ		[ 9D ]				-					Fqs
		SAHF		[ 9E ]				-
		LAHF		[ 9F ]				-
		MOV			[ A0 ]				-					AL, Ob
		MOV			[ A1 ]				-					RAX, Ovqp
		MOV			[ A2 ]				-					Ob, AL
		MOV			[ A3 ]				-					Ovqp, rAX
# A4	....
# A5	....
# A6	....
# A7	....
		TEST		[ A8 ]				-					AL, Ib
		TEST		[ A9 ]				-					rAX, Ivds
# AA	....
# AB	....
# AC	....
# AD	....
# AE	....
# AF	....
		MOV			[ B0 ]				-					Zb, Ib
		MOV			[ B8 ]				-					Zvqp, Ivqp
		ROL			[ C0 ]				e0					Eb, Ib
		ROR			[ C0 ]				e1					Eb, Ib
		RCL			[ C0 ]				e2					Eb, Ib
		RCR			[ C0 ]				e3					Eb, Ib
		SHL			[ C0 ]				e4					Eb, Ib
		SHR			[ C0 ]				e5					Eb, Ib
		SAL			[ C0 ]				e6					Eb, Ib
		SAR			[ C0 ]				e7					Eb, Ib
		
		ROL			[ C1 ]				e0					Evqp, Ib
		ROR			[ C1 ]				e1					Evqp, Ib
		RCL			[ C1 ]				e2					Evqp, Ib
		RCR			[ C1 ]				e3					Evqp, Ib
		SHL			[ C1 ]				e4					Evqp, Ib
		SHR			[ C1 ]				e5					Evqp, Ib
		SAL			[ C1 ]				e6					Evqp, Ib
		SAR			[ C1 ]				e7					Evqp, Ib
		
		RETN		[ C2 ]				-					Iw
		RETN		[ C3 ]				-
# C4	[Invalid]
# C5	[Invalid]
		MOV			[ C6 ]				e0					Eb, Ib
		MOV			[ C7 ]				e0					Evqp, Ivds
# C8	....
# C9	....
		RETF		[ CA ]				-					Iw
		RETF		[ CB ]				-
		INT3		[ CC ]				-					Fv
		INT			[ CD ]				-					Ib, Fv
# CE	....
# CF	....
# D0	....
# D1	....
# D2	....
# D3	....
# D4	[Invalid]
# D5	[Invalid]
# D6	[Invalid]
# D7	....
# D8	....
# D9	....
# DA	....
# DB	....
# DC	....
# DD	....
# DE	....
# DF	....
# E0	....
# E1	....
# E2	....
# E3	....
		IN			[ E4 ]				-					AL, Ib
		IN			[ E5 ]				-					eAX, Ib
		OUT			[ E6 ]				-					Ib, AL
		OUT			[ E7 ]				-					Ib, eAX
		CALL		[ E8 ]				-					Jvds
		JMP			[ E9 ]				-					Jvds
# EA	[Invalid]

		JMP			[ EB ]				-					Jbs
		IN			[ EC ]				-					AL, DX
		IN			[ ED ]				-					eAX, DX
		OUT			[ EE ]				-					DX, AL
		OUT			[ EF ]				-					DX, eAX
# F1	....
# F2	....
# F3	....
		HLT			[ F4 ]				l0
# F5	....
		TEST		[ F6 ]				e0					Eb, Ib
#		TEST		[ F6 ]				e1					Eb, Ib
		NOT			[ F6 ]				Le2					Eb
		NEG			[ F6 ]				Le3					Eb
		MUL			[ F6 ]				e4					AX, AL, Eb
		IMUL		[ F6 ]				e5					AX, AL, Eb
		DIV			[ F6 ]				e6					AL, AH, AX, Eb
		IDIV		[ F6 ]				e7					AL, AH, AX, Eb
		TEST		[ F7 ]				e0					Evqp, Ivds
#		TEST		[ F7 ]				e1					Evqp, Ivds
		
		NOT			[ F7 ]				Le2					Evqp
		NEG			[ F7 ]				Le3					Evqp
		MUL			[ F7 ]				e4					rDX, rAX, Evqp
		IMUL		[ F7 ]				e5					rDX, rAX, Evqp
		DIV			[ F7 ]				e6					rDX, rAX, Evqp
		IDIV		[ F7 ]				e7					rDX, rAX, Evqp
		
		CLC			[ F8 ]				-
		STC			[ F9 ]				-
		CLI			[ FA ]				-
		STI			[ FB ]				-
		CLD			[ FC ]				-
		STD			[ FD ]				-
		INC			[ FE ]				e0					Eb
		DEC			[ FE ]				e1					Eb
		INC			[ FF ]				e0					Evqp
		DEC			[ FF ]				e1					Evqp
		
		CALL		[ FF ]				e2					Ev
		CALL		[ FF ]				Ee2					Eq
		CALLF		[ FF ]				e3					Evqp
		JMP			[ FF ]				e4					Ev
		JMP			[ FF ]				Ee4					Eq
#		JMPF		[ FF ]				e5					Evqp
		PUSH		[ FF ]				e6					Ev
		PUSH		[ FF ]				Ee6					Evq
